complemento/valorTotal,dets/0/prod/qCom,dets/0/prod/uCom,dets/0/prod/vProd,dets/0/prod/vUnCom,dets/0/prod/xProd,dets/1/prod/qCom,dets/1/prod/uCom,dets/1/prod/vProd,dets/1/prod/vUnCom,dets/1/prod/xProd,ide/dhEmi/$date,infAdic/infCpl,total/icmsTot/vDesc,total/icmsTot/vProd,total/icmsTot/vTotTrib,total/icmsTot/vnf,dets/2/prod/qCom,dets/2/prod/vProd,dets/2/prod/vUnCom,dets/2/prod/xProd,dets/3/prod/qCom,dets/3/prod/vProd,dets/3/prod/vUnCom,dets/3/prod/xProd,dets/4/prod/qCom,dets/4/prod/vProd
24.9,1,UN,3.5,3.5,AGUA,312,KG,21.4,68.6,BUFFET,2016-01-05T12:01:54.000Z,Mesa 2,0,24.9,2.53,24.9,,,,,,,,,,
92.53,1218,KG,83.55,68.6,BUFFET,2,UN,9,4.5,REFRIGERANTE,2016-01-05T12:03:52.000Z,Mesa 1,0,92.55,7.71,92.55,,,,,,,,,,
57.86,1,UN,4.5,4.5,SUCO,778,KG,53.37,68.6,BUFFET,2016-01-05T12:16:40.000Z,Mesa 5,0,57.87,2.43,57.87,,,,,,,,,,
34.97,0.51,KG,34.98,68.6,BUFFET,,,,,,2016-01-05T12:17:50.000Z,Mesa 3,0,34.98,1.47,34.98,,,,,,,,,,
46.23,674,KG,46.23,68.6,BUFFET,,,,,,2016-01-05T12:18:35.000Z,Mesa 4,0,46.23,1.94,46.23,,,,,,,,,,
32.76,412,KG,28.26,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T12:20:00.000Z,Mesa 6,0,32.76,3.29,32.76,,,,,,,,,,
57.11,1,UN,3.5,3.5,AGUA,716,KG,49.11,68.6,BUFFET,2016-01-05T12:22:16.000Z,Mesa 7,0,57.11,5.79,57.11,1,4.5,4.5,CERVEJA,,,,,,
36.19,462,KG,31.69,68.6,BUFFET,1,UN,4.5,4.5,CERVEJA,2016-01-05T12:22:57.000Z,Mesa 9,0,36.19,3.43,36.19,,,,,,,,,,
32.37,472,KG,32.37,68.6,BUFFET,,,,,,2016-01-05T12:23:25.000Z,Mesa 10,0,32.37,1.36,32.37,,,,,,,,,,
119.47,3,UN,3,1,CHA,1.7,KG,116.48,68.6,BUFFET,2016-01-05T12:30:26.000Z,Mesa 11,0,119.48,6.9,80.65,,,,,,,,,,
37.04,0.54,KG,37.04,68.6,BUFFET,,,,,,2016-01-05T12:33:30.000Z,Mesa 15,0,37.04,1.56,24.69,,,,,,,,,,
32.41,1,UN,1,1,CHA,458,KG,31.41,68.6,BUFFET,2016-01-05T12:34:09.000Z,Mesa 14,0,32.41,1.79,32.41,,,,,,,,,,
34.17,1,UN,4.5,4.5,SUCO,386,KG,26.47,68.6,BUFFET,2016-01-05T12:35:11.000Z,Mesa 16,0,34.17,2.79,34.17,1,3.2,3.2,DOCINHOS,,,,,,
